zipcode	locationtext	county
15001	Aliquippa, PA	Beaver
15003	Ambridge, PA	Beaver
15004	Atlasburg, PA	Washington
15005	Baden, PA	Beaver
15006	Bairdford, PA	Allegheny
15007	Bakerstown, PA	Allegheny
15009	Beaver, PA	Beaver
15010	Beaver Falls, PA	Beaver
15012	Belle Vernon, PA	Westmoreland
15014	Brackenridge, PA	Allegheny
15015	Bradfordwoods, PA	Allegheny
15017	Bridgeville, PA	Allegheny
15018	Buena Vista, PA	Allegheny
15019	Bulger, PA	Washington
15020	Bunola, PA	Allegheny
15021	Burgettstown, PA	Washington
15022	Charleroi, PA	Washington
15024	Cheswick, PA	Allegheny
15025	Clairton, PA	Allegheny
15026	Clinton, PA	Beaver
15027	Conway, PA	Beaver
15028	Coulters, PA	Allegheny
15030	Creighton, PA	Allegheny
15031	Cuddy, PA	Allegheny
15032	Curtisville, PA	Allegheny
15033	Donora, PA	Washington
15034	Dravosburg, PA	Allegheny
15035	East Mc Keesport, PA	Allegheny
15037	Elizabeth, PA	Allegheny
15038	Elrama, PA	Washington
15042	Freedom, PA	Beaver
15043	Georgetown, PA	Beaver
15044	Gibsonia, PA	Allegheny
15045	Glassport, PA	Allegheny
15046	Crescent, PA	Allegheny
15047	Greenock, PA	Allegheny
15049	Harwick, PA	Allegheny
15050	Hookstown, PA	Beaver
15051	Indianola, PA	Allegheny
15052	Industry, PA	Beaver
15053	Joffre, PA	Washington
15054	Langeloth, PA	Washington
15055	Lawrence, PA	Washington
15056	Leetsdale, PA	Allegheny
15057	Mc Donald, PA	Washington
15059	Midland, PA	Beaver
15060	Midway, PA	Washington
15061	Monaca, PA	Beaver
15062	Monessen, PA	Westmoreland
15063	Monongahela, PA	Washington
15064	Morgan, PA	Allegheny
15065	Natrona Heights, PA	Allegheny
15066	New Brighton, PA	Beaver
15067	New Eagle, PA	Washington
15068	New Kensington, PA	Westmoreland
15069	New Kensington, PA	Westmoreland
15071	Oakdale, PA	Allegheny
15072	Pricedale, PA	Westmoreland
15074	Rochester, PA	Beaver
15075	Rural Ridge, PA	Allegheny
15076	Russellton, PA	Allegheny
15077	Shippingport, PA	Beaver
15078	Slovan, PA	Washington
15081	South Heights, PA	Beaver
15082	Sturgeon, PA	Allegheny
